# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
NOS;2010;N14 G_Shipping;PM2.5;Gg;25.0630315770644
ATL;2010;N14 G_Shipping;PM2.5;Gg;49.5997521302128
MED;2010;N14 G_Shipping;PM2.5;Gg;77.3847781819051
BLS;2010;N14 G_Shipping;PMcoarse;Gg;0.29079680493178
NOS;2010;N14 G_Shipping;PMcoarse;Gg;1.7112175581554
BAS;2010;N14 G_Shipping;PMcoarse;Gg;0.7193571020678
MED;2010;N14 G_Shipping;PMcoarse;Gg;5.39547339278799
ATL;2010;N14 G_Shipping;PMcoarse;Gg;2.49655563166451
ATL;2010;N14 G_Shipping;SOx;Gg;368.429909506331
BLS;2010;N14 G_Shipping;SOx;Gg;36.8414213365923
BAS;2010;N14 G_Shipping;SOx;Gg;105.636809005175
NOS;2010;N14 G_Shipping;SOx;Gg;215.324657589572
MED;2010;N14 G_Shipping;SOx;Gg;559.924074175365
BAS;2011;N14 G_Shipping;CO;Gg;20.2491884878227
MED;2011;N14 G_Shipping;CO;Gg;92.5283923105286
NOS;2011;N14 G_Shipping;CO;Gg;49.9571907668148
BLS;2011;N14 G_Shipping;CO;Gg;7.55451245452253
ATL;2011;N14 G_Shipping;CO;Gg;58.7536487052287
BLS;2011;N14 G_Shipping;NMVOC;Gg;0.823441857542955
NOS;2011;N14 G_Shipping;NMVOC;Gg;5.44533379358281
BAS;2011;N14 G_Shipping;NMVOC;Gg;2.20716154517267
ATL;2011;N14 G_Shipping;NMVOC;Gg;6.40414770886993
MED;2011;N14 G_Shipping;NMVOC;Gg;10.0855947618476
BLS;2011;N14 G_Shipping;NOx;Gg;91.2998612298138
BAS;2011;N14 G_Shipping;NOx;Gg;337
MED;2011;N14 G_Shipping;NOx;Gg;1188.10177501338
NOS;2011;N14 G_Shipping;NOx;Gg;677
ATL;2011;N14 G_Shipping;NOx;Gg;734.564828309786
NOS;2011;N14 G_Shipping;PM10;Gg;21.0922700902512
MED;2011;N14 G_Shipping;PM10;Gg;89.4147635864771
BLS;2011;N14 G_Shipping;PM10;Gg;6.12430729212613
